Symbol,Date,Open,High,Low,Close,Adj Close,Volume
GME,3/21/2024,13.56,14.02,13.48,13.66,13.66,3382800
GME,3/22/2024,13.76,13.95,13.01,13.1,13.1,4400000
GME,3/25/2024,13.42,15.15,13.31,15.12,15.12,10416300
GME,3/26/2024,15.15,15.63,14.75,15.5,15.5,17245800
GME,3/27/2024,13.05,13.72,12.8,13.17,13.17,17871300
GME,3/28/2024,13.19,13.19,12.47,12.52,12.52,8473500
GME,4/1/2024,12.63,12.67,11.55,11.99,11.99,9207100
GME,4/2/2024,11.84,11.99,11.26,11.28,11.28,6327700
GME,4/3/2024,11.22,11.5,10.9,11.38,11.38,4331500
GME,4/4/2024,11.5,11.83,11.38,11.53,11.53,4347000
GME,4/5/2024,11.3,11.5,10.97,11.25,11.25,4750800
GME,4/8/2024,11.3,11.37,10.83,10.83,10.83,3659100
GME,4/9/2024,10.85,11.18,10.73,11.01,11.01,3514400
GME,4/10/2024,10.9,11.07,10.75,10.85,10.85,3546200
GME,4/11/2024,10.91,11.39,10.8,11.29,11.29,3802100
GME,4/12/2024,11.21,11.23,10.76,10.77,10.77,3196300
GME,4/15/2024,10.81,10.84,10.06,10.06,10.06,5086300
GME,4/16/2024,10,10.55,9.95,10.37,10.37,4162100
GME,4/17/2024,10.44,10.59,10.3,10.3,10.3,2096700
GME,4/18/2024,10.32,10.63,10.27,10.31,10.31,2175400
GME,4/19/2024,10.2,10.5,10.2,10.42,10.42,2455100
GME,4/22/2024,10.41,10.45,10.01,10.01,10.01,3253900
GME,4/23/2024,10.05,10.28,10.01,10.23,10.23,1166829
